review_order,task_id,task_sha256,canonical_identity,corpus_member_id,title,doi,pmid,year,allowed_terminal_roles,source_metadata_json,existing_observations_json
22,DISPOSITION-TASK-37d387d2ae7cd099,18d6d34fa3249c6f491bce795bb07f32100ac11161dec9b318760200edd45e9b,doi:10.1364/boe.570414,CORPUS-37d387d2ae7cd099,Dynamic contrast in dual-beam optical coherence tomography imaging of human skin.,10.1364/boe.570414,41394505.0,2025.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1364/boe.570414"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":14,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1364/boe.570414"",""domain_count"":1,""domains_json"":""[\""physics_informed_clinical_image_analysis\""]"",""maximum_domain_score"":8.80103,""pmid"":""41394505.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":58.60206,""screen_decision"":""UNADJUDICATED"",""title"":""Dynamic contrast in dual-beam optical coherence tomography imaging of human skin."",""unique_review_order"":44,""url"":""https://europepmc.org/article/MED/41394505"",""year"":""2025.0""}",[]
23,DISPOSITION-TASK-11f30fb957882c10,0229ee66f60dd4bb70f9c96f6e6d2fd56ad23819807e91e7444b639ae113226b,doi:10.1364/josaa.23.001814,CORPUS-11f30fb957882c10,Metamer-set-based approach to estimating surface reflectance from camera RGB,10.1364/josaa.23.001814,,2006.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1364/josaa.23.001814"",""claim_count"":1,""claim_id"":""TC-NOV-003"",""claim_rank"":12,""claims_json"":""[\""TC-NOV-003\""]"",""doi"":""10.1364/josaa.23.001814"",""domain_count"":1,""domains_json"":""[\""camera_metamerism_and_spectral_reconstruction\""]"",""maximum_domain_score"":13.00515,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":80.34363333333334,""screen_decision"":""UNADJUDICATED"",""title"":""Metamer-set-based approach to estimating surface reflectance from camera RGB"",""unique_review_order"":38,""url"":""https://doi.org/10.1364/josaa.23.001814"",""year"":""2006.0""}",[]
24,DISPOSITION-TASK-caacedd3bf88372c,a879848c86c306c27d9813a7b418834403adc7567d7c88b7eb36d21ed1ccffea,doi:10.1371/journal.pone.0280670,CORPUS-caacedd3bf88372c,New AI-algorithms on smartphones to detect skin cancer in a clinical setting-A validation study.,10.1371/journal.pone.0280670,36791068.0,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1371/journal.pone.0280670"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":12,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1371/journal.pone.0280670"",""domain_count"":1,""domains_json"":""[\""clinical_external_validation_and_domain_shift\""]"",""maximum_domain_score"":9.646128,""pmid"":""36791068.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":60.292256,""screen_decision"":""UNADJUDICATED"",""title"":""New AI-algorithms on smartphones to detect skin cancer in a clinical setting-A validation study."",""unique_review_order"":39,""url"":""https://europepmc.org/article/MED/36791068"",""year"":""2023.0""}",[]
25,DISPOSITION-TASK-279512c38e323944,6ef268745bada7a0fadd3942f1c1b446b20b124e3d292e8730cf7a2a89dae13d,doi:10.19184/cerimre.v5i2.31668,CORPUS-279512c38e323944,Optical Ray Tracing Simulation by Using Monte Carlo Method for Reflectance-based Photoplethysmography Sensor in Human Skin and Fingertip Model,10.19184/cerimre.v5i2.31668,,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.19184/cerimre.v5i2.31668"",""claim_count"":1,""claim_id"":""TC-NOV-001"",""claim_rank"":14,""claims_json"":""[\""TC-NOV-001\""]"",""doi"":""10.19184/cerimre.v5i2.31668"",""domain_count"":1,""domains_json"":""[\""skin_tissue_optical_forward_models\""]"",""maximum_domain_score"":16.0,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":78.0,""screen_decision"":""UNADJUDICATED"",""title"":""Optical Ray Tracing Simulation by Using Monte Carlo Method for Reflectance-based Photoplethysmography Sensor in Human Skin and Fingertip Model"",""unique_review_order"":42,""url"":""https://doi.org/10.19184/cerimre.v5i2.31668"",""year"":""2022.0""}",[]
26,DISPOSITION-TASK-216e636378952ff3,d14df673ef7c3d894ffc136b8f34b07d97a16ab935b8f2158f13d8f0f39d6197,doi:10.3390/jimaging12050203,CORPUS-216e636378952ff3,Characterization of RGB-Polarization Sensor-Based Cameras.,10.3390/jimaging12050203,42188240.0,2026.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.3390/jimaging12050203"",""claim_count"":2,""claim_id"":""TC-NOV-003"",""claim_rank"":13,""claims_json"":""[\""TC-NOV-003\"",\""TC-NOV-006\""]"",""doi"":""10.3390/jimaging12050203"",""domain_count"":2,""domains_json"":""[\""camera_spectral_sensitivity_and_observation_operators\"",\""capture_variability_white_balance_and_illumination\""]"",""maximum_domain_score"":11.0,""pmid"":""42188240.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":79.0,""screen_decision"":""UNADJUDICATED"",""title"":""Characterization of RGB-Polarization Sensor-Based Cameras."",""unique_review_order"":20,""url"":""https://europepmc.org/article/MED/42188240"",""year"":""2026.0""}",[]
27,DISPOSITION-TASK-c78ba86b99b9b24a,f4a7f0475298e3cda95ca9652d6498a5b2d5f3985a8b3152ea2498b589b75c6d,doi:10.3390/jimaging9020047,CORPUS-c78ba86b99b9b24a,Spectral Reflectance Estimation from Camera Responses Using Local Optimal Dataset,10.3390/jimaging9020047,36826966.0,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.3390/jimaging9020047"",""claim_count"":1,""claim_id"":""TC-NOV-003"",""claim_rank"":14,""claims_json"":""[\""TC-NOV-003\""]"",""doi"":""10.3390/jimaging9020047"",""domain_count"":1,""domains_json"":""[\""camera_spectral_sensitivity_and_observation_operators\""]"",""maximum_domain_score"":11.278151,""pmid"":""36826966.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.88963533333333,""screen_decision"":""UNADJUDICATED"",""title"":""Spectral Reflectance Estimation from Camera Responses Using Local Optimal Dataset"",""unique_review_order"":43,""url"":""https://doi.org/10.3390/jimaging9020047"",""year"":""2023.0""}",[]
28,DISPOSITION-TASK-f080b5839173d8c5,189c3355c970b2875d9472c1ba23fc301a3af8d5152baa1205da82bcbb58b45d,doi:10.3390/s130607902,CORPUS-f080b5839173d8c5,Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method,10.3390/s130607902,,2013.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.3390/s130607902"",""claim_count"":2,""claim_id"":""TC-NOV-001"",""claim_rank"":11,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-005\""]"",""doi"":""10.3390/s130607902"",""domain_count"":2,""domains_json"":""[\""melanin_hemoglobin_and_scattering_identifiability\"",\""skin_reflectance_inverse_models\""]"",""maximum_domain_score"":14.351258,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":85.702516,""screen_decision"":""UNADJUDICATED"",""title"":""Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method"",""unique_review_order"":32,""url"":""https://doi.org/10.3390/s130607902"",""year"":""2013.0""}",[]
29,DISPOSITION-TASK-caa3807463814a9c,02688bd350b4433b5c0fb0565eed6ce8b161f735d290813d00f9354cd62928e2,doi:10.3390/s22134923,CORPUS-caa3807463814a9c,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,10.3390/s22134923,,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.3390/s22134923"",""claim_count"":2,""claim_id"":""TC-NOV-002"",""claim_rank"":11,""claims_json"":""[\""TC-NOV-002\"",\""TC-NOV-003\""]"",""doi"":""10.3390/s22134923"",""domain_count"":2,""domains_json"":""[\""camera_metamerism_and_spectral_reconstruction\"",\""camera_spectral_sensitivity_and_observation_operators\""]"",""maximum_domain_score"":11.778151,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":105.556302,""screen_decision"":""UNADJUDICATED"",""title"":""Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals"",""unique_review_order"":24,""url"":""https://doi.org/10.3390/s22134923"",""year"":""2022.0""}",[]
30,DISPOSITION-TASK-f3072983e3180c15,f488f5a32b492ad5f1ba28968576472e331120acc4587c533cc6327fa03c6772,doi:10.3390/s23083888,CORPUS-f3072983e3180c15,Multispectral Imaging for Skin Diseases Assessment-State of the Art and Perspectives.,10.3390/s23083888,37112229.0,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.3390/s23083888"",""claim_count"":2,""claim_id"":""TC-NOV-002"",""claim_rank"":14,""claims_json"":""[\""TC-NOV-002\"",\""TC-NOV-003\""]"",""doi"":""10.3390/s23083888"",""domain_count"":1,""domains_json"":""[\""multispectral_band_selection_and_measurement_design\""]"",""maximum_domain_score"":12.230449,""pmid"":""37112229.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":95.460898,""screen_decision"":""UNADJUDICATED"",""title"":""Multispectral Imaging for Skin Diseases Assessment-State of the Art and Perspectives."",""unique_review_order"":27,""url"":""https://europepmc.org/article/MED/37112229"",""year"":""2023.0""}",[]
31,DISPOSITION-TASK-5c8179033fa93f1f,8b4a8d50bbfac2a58b8a547a06461bf033867b1a2596a63892984ef2fe9f6ffd,doi:10.5753/sibgrapi.est.2024.31648,CORPUS-5c8179033fa93f1f,Enhancing Fairness in Machine Learning: Skin Tone Classification Using the Monk Skin Tone Scale,10.5753/sibgrapi.est.2024.31648,,2024.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":7,""canonical_key"":""doi:10.5753/sibgrapi.est.2024.31648"",""claim_count"":2,""claim_id"":""TC-NOV-004"",""claim_rank"":10,""claims_json"":""[\""TC-NOV-004\"",\""TC-NOV-006\""]"",""doi"":""10.5753/sibgrapi.est.2024.31648"",""domain_count"":1,""domains_json"":""[\""dermatology_ai_fairness_and_skin_tone\""]"",""maximum_domain_score"":13.5,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":62.285714285714285,""screen_decision"":""UNADJUDICATED"",""title"":""Enhancing Fairness in Machine Learning: Skin Tone Classification Using the Monk Skin Tone Scale"",""unique_review_order"":31,""url"":""https://doi.org/10.5753/sibgrapi.est.2024.31648"",""year"":""2024.0""}",[]
32,DISPOSITION-TASK-cea3a0861fd3571a,4328673be4d13b6a704cd265c990a91c23e24416278545c0d001498df49f0f5b,doi:10.7759/cureus.94909,CORPUS-cea3a0861fd3571a,Exploring the Diagnostic Capability of Artificial Intelligence in Dermatology for Darker Skin Tones: A Narrative Review.,10.7759/cureus.94909,41262830.0,2025.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":6,""canonical_key"":""doi:10.7759/cureus.94909"",""claim_count"":2,""claim_id"":""TC-NOV-004"",""claim_rank"":9,""claims_json"":""[\""TC-NOV-004\"",\""TC-NOV-006\""]"",""doi"":""10.7759/cureus.94909"",""domain_count"":1,""domains_json"":""[\""dermatology_ai_fairness_and_skin_tone\""]"",""maximum_domain_score"":13.5,""pmid"":""41262830.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":64.66666666666667,""screen_decision"":""UNADJUDICATED"",""title"":""Exploring the Diagnostic Capability of Artificial Intelligence in Dermatology for Darker Skin Tones: A Narrative Review."",""unique_review_order"":29,""url"":""https://europepmc.org/article/MED/41262830"",""year"":""2025.0""}",[]
